0,3800
1,2701
2,2830
3,2709
4,2753
5,2701
6,2845
7,2706
8,2662
9,2697
10,2688
11,2697
12,2720
13,2700
14,2831
15,2716
16,2645
17,2712
18,2709
19,2693
20,2691
21,2707
22,2711
30,2742
31,2701
36,2739
41,2712
42,2696
45,2701
49,2706
51,2702
57,2708
60,2719
63,2702
64,2599
65,2700
66,2889
67,2701
68,2624
69,2700
70,2788
71,2710
72,2636
73,2709
74,2668
75,2707
76,2645
77,2692
78,2778
79,2708
80,2652
81,2713
82,2700
83,2695
84,2755
85,2704
93,2707
95,2707
98,2703
99,2709
101,2699
103,2701
104,2706
107,2702
114,2709
121,2708
124,2697
128,2679
129,2696
130,2931
131,2706
132,2614
133,2705
134,2677
135,2705
136,2675
137,2711
138,2714
139,2706
140,2684
141,2709
142,2654
143,2691
144,2734
145,2693
146,2684
147,2708
148,2745
150,2709
159,2709
162,2714
163,2699
178,2671
184,2691
187,2704
189,2707
192,2684
193,2704
194,2697
195,2708
196,2606
197,2700
198,2740
199,2705
200,2760
201,2702
202,2804
203,2696
204,2672
205,2715
206,2664
207,2698
208,2775
209,2698
210,2709
213,2703
235,2707
240,2738
249,2699
256,2805
257,2709
258,2599
259,2701
260,2690
261,2698
262,2710
263,2703
264,2721
265,2712
266,2716
267,2704
268,2727
269,2703
270,2661
271,2698
272,2719
273,2700
274,2695
277,2698
280,2727
301,2703
320,2807
321,2706
322,2578
323,2701
324,2743
325,2705
326,2697
327,2705
328,2688
329,2704
330,2699
331,2698
332,2756
333,2710
334,2659
335,2701
336,2737
338,2717
344,2689
350,2700
355,2698
356,2725
362,2713
366,2704
370,2716
372,2700
381,2701
384,2735
385,2701
386,2732
387,2702
388,2658
389,2710
390,2701
391,2702
392,2763
393,2696
394,2671
395,2703
396,2650
397,2701
398,2719
399,2712
407,2700
410,2675
414,2706
425,2710
429,2706
442,2693
446,2706
448,2709
449,2703
450,2683
451,2707
452,2717
453,2708
454,2694
455,2694
456,2733
457,2702
458,2655
459,2712
460,2699
461,2698
462,2737
472,2723
475,2704
480,2728
481,2701
484,2670
486,2688
489,2709
512,2845
513,2703
514,2560
515,2704
516,2748
517,2699
518,2728
519,2703
520,2634
521,2701
522,2712
523,2708
524,2714
525,2707
533,2706
536,2680
543,2702
549,2707
550,2682
551,2698
552,2728
560,2698
561,2698
567,2705
570,2711
574,2703
576,2710
577,2704
578,2653
579,2707
580,2732
581,2703
582,2652
583,2705
584,2700
585,2702
586,2759
587,2706
588,2728
592,2698
596,2670
597,2707
604,2734
606,2710
607,2703
609,2700
625,2704
640,2810
641,2706
642,2570
643,2701
644,2705
645,2703
646,2664
647,2708
648,2681
649,2704
650,2758
651,2701
665,2699
672,2709
674,2704
684,2703
685,2702
702,2695
703,2702
704,2737
705,2702
706,2725
707,2700
708,2759
709,2702
710,2659
711,2706
712,2654
713,2705
714,2712
715,2699
719,2710
725,2701
734,2674
736,2688
744,2709
749,2701
757,2706
762,2705
764,2723
768,2709
769,2708
770,2672
771,2705
772,2760
773,2706
774,2663
775,2695
776,2777
777,2706
778,2682
782,2671
784,2727
786,2676
794,2680
800,2721
801,2703
804,2681
809,2702
832,2696
833,2705
834,2697
835,2702
836,2739
837,2708
838,2693
839,2698
840,2725
841,2705
843,2705
846,2723
850,2711
864,2704
872,2710
875,2707
881,2705
885,2706
887,2704
888,2719
890,2693
895,2702
896,2749
897,2703
898,2732
899,2700
900,2703
901,2705
902,2641
903,2706
905,2700
908,2714
914,2705
922,2707
923,2701
929,2708
932,2724
933,2706
936,2681
946,2710
953,2703
954,2699
957,2701
958,2699
960,2686
961,2704
962,2706
963,2702
964,2711
965,2703
966,2700
968,2733
971,2704
972,2700
973,2704
982,2756
985,2703
987,2699
990,2706
992,2709
993,2700
1000,2710
1004,2696
1007,2703
1008,2692
1010,2687
1012,2703
1019,2704
1023,2706
1024,2663
1025,2703
1026,2703
1027,2700
1028,2696
1029,2705
1030,2750
1035,2702
1040,2708
1041,2705
1043,2697
1044,2713
1045,2706
1057,2709
1063,2705
1066,2695
1069,2698
1070,2694
1071,2703
1078,2704
1083,2703
1085,2702
1088,2737
1089,2705
1090,2692
1091,2706
1092,2705
1096,2700
1102,2720
1103,2703
1110,2675
1111,2700
1112,2711
1115,2704
1130,2713
1136,2692
1144,2709
1151,2703
1152,2677
1153,2706
1154,2749
1155,2701
1158,2715
1160,2724
1166,2737
1171,2702
1173,2702
1176,2718
1183,2708
1188,2717
1194,2724
1199,2702
1205,2699
1209,2706
1211,2702
1216,2702
1217,2703
1218,2690
1219,2703
1230,2702
1234,2716
1235,2704
1243,2706
1245,2701
1250,2721
1253,2707
1259,2698
1262,2699
1266,2713
1277,2707
1279,2702
1280,2661
1281,2703
1299,2708
1311,2699
1312,2714
1314,2706
1317,2709
1326,2717
1335,2707
1344,2672
1356,2694
1357,2705
1362,2709
1370,2730
1373,2707
1380,2684
1381,2704
1384,2724
1398,2703
1403,2704
1409,2704
1412,2687
1416,2661
1417,2711
1426,2677
1428,2743
1431,2702
1432,2730
1434,2718
1435,2704
1441,2706
1442,2694
1443,2699
1453,2703
1460,2723
1468,2712
1469,2702
1475,2702
1487,2702
1491,2703
1495,2706
1501,2700
1515,2711
1516,2699
1517,2700
1518,2699
1525,2707
1526,2696
1528,2705
1529,2701
1536,2756
1537,2703
1541,2705
1546,2713
1551,2704
1552,2714
1554,2725
1558,2699
1561,2703
1566,2702
1571,2704
1573,2702
1586,2712
1587,2704
1597,2704
1601,2701
1602,2695
1607,2704
1608,2713
1611,2706
1619,2705
1637,2708
1638,2713
1662,2708
1672,2684
1673,2703
1674,2738
1691,2699
1697,2701
1701,2701
1712,2704
1713,2707
